City1,City1.Longitude,City1.Latitude,City2,City2.Longitude,City2.Latitude,Season,Passenger_Trips
CAIRNS,145.766251,-16.92304,MELBOURNE,144.963425,-37.813938,Autumn,22549.772151898735
CAIRNS,145.766251,-16.92304,MELBOURNE,144.963425,-37.813938,Spring,28626.447174447174
CAIRNS,145.766251,-16.92304,MELBOURNE,144.963425,-37.813938,Summer,24549.694516971278
CAIRNS,145.766251,-16.92304,MELBOURNE,144.963425,-37.813938,Winter,29969.388753056235
CAIRNS,145.766251,-16.92304,SYDNEY,151.205475,-33.861481,Autumn,48226.51708428246
CAIRNS,145.766251,-16.92304,SYDNEY,151.205475,-33.861481,Spring,58609.011494252874
CAIRNS,145.766251,-16.92304,SYDNEY,151.205475,-33.861481,Summer,52536.7962529274
CAIRNS,145.766251,-16.92304,SYDNEY,151.205475,-33.861481,Winter,61311.21939953811
CAIRNS,145.766251,-16.92304,TOWNSVILLE,146.805695,-19.26639,Autumn,11156.73144876325
CAIRNS,145.766251,-16.92304,TOWNSVILLE,146.805695,-19.26639,Spring,11558.29702970297
CAIRNS,145.766251,-16.92304,TOWNSVILLE,146.805695,-19.26639,Summer,9854.830508474577
CAIRNS,145.766251,-16.92304,TOWNSVILLE,146.805695,-19.26639,Winter,11544.159468438538
CALOUNDRA,153.137711,-26.797091,MELBOURNE,144.963425,-37.813938,Autumn,15335.44859813084
CALOUNDRA,153.137711,-26.797091,MELBOURNE,144.963425,-37.813938,Spring,19386.186274509804
CALOUNDRA,153.137711,-26.797091,MELBOURNE,144.963425,-37.813938,Summer,17937.960784313724
CALOUNDRA,153.137711,-26.797091,MELBOURNE,144.963425,-37.813938,Winter,17122.914285714287
CALOUNDRA,153.137711,-26.797091,SYDNEY,151.205475,-33.861481,Autumn,22119.846846846845
CALOUNDRA,153.137711,-26.797091,SYDNEY,151.205475,-33.861481,Spring,25118.872727272726
CALOUNDRA,153.137711,-26.797091,SYDNEY,151.205475,-33.861481,Summer,25045.108108108107
CALOUNDRA,153.137711,-26.797091,SYDNEY,151.205475,-33.861481,Winter,21657.558558558558
CANBERRA,149.13435,-35.27603,MELBOURNE,144.963425,-37.813938,Autumn,67461.82232346242
CANBERRA,149.13435,-35.27603,MELBOURNE,144.963425,-37.813938,Spring,66952.34942528735
CANBERRA,149.13435,-35.27603,MELBOURNE,144.963425,-37.813938,Summer,58756.9589977221
CANBERRA,149.13435,-35.27603,MELBOURNE,144.963425,-37.813938,Winter,62676.727688787185
CANBERRA,149.13435,-35.27603,SYDNEY,151.205475,-33.861481,Autumn,69893.70615034169
CANBERRA,149.13435,-35.27603,SYDNEY,151.205475,-33.861481,Spring,71790.4827586207
CANBERRA,149.13435,-35.27603,SYDNEY,151.205475,-33.861481,Summer,57640.19817767654
CANBERRA,149.13435,-35.27603,SYDNEY,151.205475,-33.861481,Winter,70837.10755148741
COFFS HARBOUR,153.11351,-30.296261,SYDNEY,151.205475,-33.861481,Autumn,17393.44646924829
COFFS HARBOUR,153.11351,-30.296261,SYDNEY,151.205475,-33.861481,Spring,18401.142528735632
COFFS HARBOUR,153.11351,-30.296261,SYDNEY,151.205475,-33.861481,Summer,17450.330296127562
COFFS HARBOUR,153.11351,-30.296261,SYDNEY,151.205475,-33.861481,Winter,16720.75057208238
DARWIN,130.836639,-12.45722,MELBOURNE,144.963425,-37.813938,Autumn,14164.874509803922
DARWIN,130.836639,-12.45722,MELBOURNE,144.963425,-37.813938,Spring,15522.650980392156
DARWIN,130.836639,-12.45722,MELBOURNE,144.963425,-37.813938,Summer,13883.476595744682
DARWIN,130.836639,-12.45722,MELBOURNE,144.963425,-37.813938,Winter,17474.175438596492
DARWIN,130.836639,-12.45722,PERTH,115.861397,-31.95224,Autumn,12902.896296296296
DARWIN,130.836639,-12.45722,PERTH,115.861397,-31.95224,Spring,14365.54074074074
DARWIN,130.836639,-12.45722,PERTH,115.861397,-31.95224,Summer,12344.893129770993
DARWIN,130.836639,-12.45722,PERTH,115.861397,-31.95224,Winter,16410.043795620437
DARWIN,130.836639,-12.45722,SYDNEY,151.205475,-33.861481,Autumn,9703.774647887323
DARWIN,130.836639,-12.45722,SYDNEY,151.205475,-33.861481,Spring,10089.61403508772
DARWIN,130.836639,-12.45722,SYDNEY,151.205475,-33.861481,Summer,8194.862796833773
DARWIN,130.836639,-12.45722,SYDNEY,151.205475,-33.861481,Winter,12983.14489311164
DEVONPORT,146.351517,-41.176949,MELBOURNE,144.963425,-37.813938,Autumn,6852.602150537635
DEVONPORT,146.351517,-41.176949,MELBOURNE,144.963425,-37.813938,Spring,6697.329545454545
DEVONPORT,146.351517,-41.176949,MELBOURNE,144.963425,-37.813938,Summer,7779.29539295393
DEVONPORT,146.351517,-41.176949,MELBOURNE,144.963425,-37.813938,Winter,6233.8351648351645
DUBBO,148.604843,-32.24295,SYDNEY,151.205475,-33.861481,Autumn,11084.676537585421
DUBBO,148.604843,-32.24295,SYDNEY,151.205475,-33.861481,Spring,11654.114942528735
DUBBO,148.604843,-32.24295,SYDNEY,151.205475,-33.861481,Summer,9471.35535307517
DUBBO,148.604843,-32.24295,SYDNEY,151.205475,-33.861481,Winter,11024.366132723113
GERALDTON,114.614594,-28.778971,PERTH,115.861397,-31.95224,Autumn,9858.446601941747
GERALDTON,114.614594,-28.778971,PERTH,115.861397,-31.95224,Spring,8637.825242718447
GERALDTON,114.614594,-28.778971,PERTH,115.861397,-31.95224,Summer,8190.953271028037
GERALDTON,114.614594,-28.778971,PERTH,115.861397,-31.95224,Winter,9312.316831683169
GERALDTON,146.031021,-17.522091,PERTH,115.861397,-31.95224,Autumn,9858.446601941747
GERALDTON,146.031021,-17.522091,PERTH,115.861397,-31.95224,Spring,8637.825242718447
GERALDTON,146.031021,-17.522091,PERTH,115.861397,-31.95224,Summer,8190.953271028037
GERALDTON,146.031021,-17.522091,PERTH,115.861397,-31.95224,Winter,9312.316831683169
GOLD COAST,153.430878,-28.00029,SYDNEY,151.205475,-33.861481,Autumn,125097.97722095672
GOLD COAST,153.430878,-28.00029,SYDNEY,151.205475,-33.861481,Spring,137068.8827586207
GOLD COAST,153.430878,-28.00029,SYDNEY,151.205475,-33.861481,Summer,140833.84282460136
GOLD COAST,153.430878,-28.00029,SYDNEY,151.205475,-33.861481,Winter,125499.00228832952
HAMILTON ISLAND,148.951935,-20.34602,MELBOURNE,144.963425,-37.813938,Autumn,4113.93670886076
HAMILTON ISLAND,148.951935,-20.34602,MELBOURNE,144.963425,-37.813938,Spring,6195.0344827586205
